Date,BTC Price (USD),Hashrate(TH/s)
2012/01/01,5.4999,8.764382025
2012/01/02,5.29,9.340986105
2012/01/03,5.45,9.340986105
2012/01/04,6.399,8.476079985
2012/01/05,7.22,9.80226937
2012/01/06,6.6,9.80226937
2012/01/07,7.2,9.283325697
2012/01/08,7.2,10.01025622
2012/01/09,7.2,10.01025622
2012/01/10,7.138,9.450676678
2012/01/11,6.997,10.32113374
2012/01/12,7.1,10.32113374
2012/01/13,6.75,9.948080714
2012/01/14,6.98999,9.20197466
2012/01/15,6.81,9.20197466
2012/01/16,6.98,9.823729705
2012/01/17,6.95,8.828921633
2012/01/18,6.97,8.828921633
2012/01/19,6.58,8.580219616
2012/01/20,6.55,11.1294153
2012/01/21,6.57,11.1294153
2012/01/22,6.45485,11.11628753
2012/01/23,6.515,8.77601647
2012/01/24,6.47,8.77601647
2012/01/25,6.2,8.450978823
2012/01/26,5.689,9.036046588
2012/01/27,6.08,9.036046588
2012/01/28,5.76,10.59622729
2012/01/29,5.6,10.79124988
2012/01/30,5.72,10.79124988
2012/01/31,5.638,8.77601647
2012/02/01,6.2,10.59622729
2012/02/02,5.77,10.59622729
2012/02/03,6,11.24755398
2012/02/04,5.9625,9.327239883
2012/02/05,5.99,9.327239883
2012/02/06,5.70999,9.807318406
2012/02/07,5.8494,9.052909298
2012/02/08,5.74,9.052909298
2012/02/09,5.92525,10.08164899
2012/02/10,6,9.464405175
2012/02/11,5.94,9.464405175
2012/02/12,5.72,10.08164899
2012/02/13,5.6,9.327239883
2012/02/14,5.69,9.327239883
2012/02/15,4.73368,8.847161359
2012/02/16,4.76998,9.73873576
2012/02/17,4.74,9.73873576
2012/02/18,4.33333,10.74136802
2012/02/19,4.52,9.988788097
2012/02/20,4.38,9.988788097
2012/02/21,4.54,10.74136802
2012/02/22,4.92481,11.49394795
2012/02/23,4.63,11.49394795
2012/02/24,5.07,11.42553159
2012/02/25,5.00073,10.39928624
2012/02/26,5.05,10.39928624
2012/02/27,5,10.26245352
2012/02/28,4.9,12.72544237
2012/02/29,4.98,12.72544237
2012/03/01,4.98888,9.897222875
2012/03/02,4.77995,8.855409941
2012/03/03,4.94,8.855409941
2012/03/04,5.04,9.822807666
2012/03/05,5.05,11.01345102
2012/03/06,5.04,11.01345102
2012/03/07,5,11.6087727
2012/03/08,4.9499,12.35292479
2012/03/09,4.99,12.35292479
2012/03/10,4.99,9.897222875
2012/03/11,4.95915,12.57617042
2012/03/12,4.98,12.57617042
2012/03/13,5.4444,10.26929892
2012/03/14,5.45,9.599562037
2012/03/15,5.45,9.599562037
2012/03/16,5.3998,12.81066608
2012/03/17,5.37998,11.61897621
2012/03/18,5.4,11.61897621
2012/03/19,4.98,11.02313128
2012/03/20,4.87,12.06585992
2012/03/21,4.95,12.06585992
2012/03/22,4.83,9.682480179
2012/03/23,4.74896,12.81066608
2012/03/24,4.81,12.81066608
2012/03/25,4.73793,11.32105375
2012/03/26,4.74,11.02313128
2012/03/27,4.74,11.02313128
2012/03/28,4.86092,11.23904129
2012/03/29,4.83,12.12846182
2012/03/30,4.85,12.12846182
2012/03/31,4.929,12.12846182
2012/04/01,5.08,10.26876434
2012/04/02,4.97,10.26876434
2012/04/03,4.97,11.40075411
2012/04/04,4.94486,9.621913043
2012/04/05,4.96,9.621913043
2012/04/06,4.98,10.6730464
2012/04/07,4.8,11.80503617
2012/04/08,4.94,11.80503617
2012/04/09,4.9,11.56246693
2012/04/10,4.8941,11.56246693
2012/04/11,4.9,11.56246693
2012/04/12,4.94464,9.883251608
2012/04/13,5.03,10.43232114
2012/04/14,4.97,10.43232114
2012/04/15,4.98,10.43232114
2012/04/16,5.02207,11.13826769
2012/04/17,4.99,11.13826769
2012/04/18,5.19,12.23640675
2012/04/19,5.17,12.15796825
2012/04/20,5.19,12.15796825
2012/04/21,5.3287,11.68733722
2012/04/22,5.21799,11.60889871
2012/04/23,5.3,11.60889871
2012/04/24,5.16,10.82451367
2012/04/25,5.18,12.07952974
2012/04/26,5.16,12.07952974
2012/04/27,5.1176,11.6988143
2012/04/28,5.0184,12.44873829
2012/04/29,5.09,12.44873829
2012/04/30,5,13.42363949
