Date,ETH Price (USD),Hashrate (GH/s),Blocks per day,,
1/1/2016,0.93,526.2007,4885,,
1/2/2016,0.93,528.0765,5095,,
1/3/2016,0.97,544.8281,5134,,
1/4/2016,0.95,541.3346,5096,,
1/5/2016,0.95,548.8214,5126,,
1/6/2016,0.96,552.2518,5090,,
1/7/2016,0.95,526.3401,4981,,
1/8/2016,0.99,550.7067,5176,,
1/9/2016,0.99,551.6457,5099,,
1/10/2016,0.99,538.0286,5093,,
1/11/2016,1.05,561.5707,5107,,
1/12/2016,1.23,541.1136,4930,,
1/13/2016,1.13,530.6222,5002,,
1/14/2016,1.16,553.7419,5090,,
1/15/2016,1.22,567.1537,5084,,
1/16/2016,1.22,574.0822,5046,,
1/17/2016,1.31,568.3259,5036,,
1/18/2016,1.47,591.419,5072,,
1/19/2016,1.37,584.904,4972,,
1/20/2016,1.53,588.1518,5038,,
1/21/2016,1.54,584.1308,4963,,
1/22/2016,1.52,610.6596,5007,,
1/23/2016,2.03,608.8656,4928,,
1/24/2016,2.1,650.5701,5168,,
1/25/2016,2.5,624.8285,4881,,
1/26/2016,2.3,672.8732,5152,,
1/27/2016,2.42,663.7333,4983,,
1/28/2016,2.55,652.1991,5059,,
1/29/2016,2.41,670.1196,4981,,
1/30/2016,2.43,668.8032,5017,,
1/31/2016,2.2,646.7083,4872,,
2/1/2016,2.17,679.1845,5015,,
2/2/2016,2.45,648.4793,4955,,
2/3/2016,2.53,696.9209,5199,,
2/4/2016,2.57,694.2255,5062,,
2/5/2016,2.57,698.6372,5046,,
2/6/2016,2.53,674.6478,4987,,
2/7/2016,3,693.3343,5087,,
2/8/2016,3.16,723.2448,5071,,
2/9/2016,3.76,699.4473,5055,,
2/10/2016,4.35,718.0474,4961,,
2/11/2016,6.38,747.5285,5019,,
2/12/2016,5.27,720.7269,5033,,
2/13/2016,5.22,766.029,5093,,
2/14/2016,5.2,775.2691,4990,,
2/15/2016,5.22,794.6889,4975,,
2/16/2016,4.25,789.694,5025,,
2/17/2016,3.86,770.0884,4857,,
2/18/2016,4.36,750.9481,4999,,
2/19/2016,4.45,794.8141,5033,,
2/20/2016,4.37,800.292,5051,,
2/21/2016,4.63,808.8832,5055,,
2/22/2016,5.6,844.5991,5103,,
2/23/2016,5.7,849.5091,4969,,
2/24/2016,6.23,846.5788,5029,,
2/25/2016,5.93,855.9038,5128,,
2/26/2016,6.03,881.5024,5055,,
2/27/2016,6.31,896.6538,4992,,
2/28/2016,6.5,915.9603,5029,,
2/29/2016,6.35,885.9939,4820,,
3/1/2016,7.59,900.4969,5052,,
3/2/2016,8.7,939.1247,5086,,
3/3/2016,9.35,957.2282,5014,,
3/4/2016,9.96,982.6566,4994,,
3/5/2016,11,1030.3311,5138,,
3/6/2016,10.98,1036.7243,4907,,
3/7/2016,9.5,1047.5369,5026,,
3/8/2016,9.88,1060.2446,5017,,
3/9/2016,11.55,1080.6917,4989,,
3/10/2016,11.11,1124.5588,5196,,
3/11/2016,11.25,1152.2742,5065,,
3/12/2016,13.25,1215.6928,5023,,
3/13/2016,15,1291.2983,5186,,
3/14/2016,12.5,1246.4302,5108,,
3/15/2016,13.09,1295.5505,5979,,
3/16/2016,12.92,1322.2236,6025,,
3/17/2016,11.14,1369.4014,6082,,
3/18/2016,10.75,1354.7364,5962,,
3/19/2016,10.55,1419.6017,6082,,
3/20/2016,10.06,1450.4615,6027,,
3/21/2016,11.97,1430.1956,5994,,
