-BEGIN HEADER-,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,
Dates (month/day/year): 01/01/2012 through 03/31/2022 ,,,,
Location: Latitude  -29.1192   Longitude 26.2455 ,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1358.98 meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,
Parameter(s): ,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,
-END HEADER-,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2012,1,1,2,0
2012,1,1,3,0
2012,1,1,4,0
2012,1,1,5,25.56
2012,1,1,6,205.88
2012,1,1,7,434.45
2012,1,1,8,669.78
2012,1,1,9,860.05
2012,1,1,10,1002.07
2012,1,1,11,1063.91
2012,1,1,12,991.88
2012,1,1,13,973.16
2012,1,1,14,927.89
2012,1,1,15,741.55
2012,1,1,16,550.98
2012,1,1,17,335.84
2012,1,1,18,119.38
2012,1,1,19,0
2012,1,1,20,0
2012,1,1,21,0
2012,1,1,22,0
2012,1,1,23,0
2012,1,2,0,0
2012,1,2,1,0
2012,1,2,2,0
2012,1,2,3,0
2012,1,2,4,0
2012,1,2,5,26.72
2012,1,2,6,218.18
2012,1,2,7,459.7
2012,1,2,8,687.5
2012,1,2,9,880.52
2012,1,2,10,898.2
2012,1,2,11,1080.77
2012,1,2,12,1099.09
2012,1,2,13,1041.05
2012,1,2,14,961.8
2012,1,2,15,797.78
2012,1,2,16,573.85
2012,1,2,17,342.09
2012,1,2,18,121.55
2012,1,2,19,0
2012,1,2,20,0
2012,1,2,21,0
2012,1,2,22,0
2012,1,2,23,0
2012,1,3,0,0
2012,1,3,1,0
2012,1,3,2,0
2012,1,3,3,0
2012,1,3,4,0
2012,1,3,5,26.93
2012,1,3,6,219.84
2012,1,3,7,466.63
2012,1,3,8,694.25
2012,1,3,9,895.84
2012,1,3,10,1040.78
2012,1,3,11,1104.52
2012,1,3,12,1117.73
2012,1,3,13,1089.25
2012,1,3,14,986.38
2012,1,3,15,822.55
2012,1,3,16,612.05
2012,1,3,17,372.06
2012,1,3,18,123.03
2012,1,3,19,0
2012,1,3,20,0
2012,1,3,21,0
2012,1,3,22,0
2012,1,3,23,0
2012,1,4,0,0
2012,1,4,1,0
2012,1,4,2,0
2012,1,4,3,0
2012,1,4,4,0
2012,1,4,5,25.49
2012,1,4,6,218.64
2012,1,4,7,464.45
2012,1,4,8,693.97
2012,1,4,9,883.29
2012,1,4,10,1015.16
2012,1,4,11,1072.76
2012,1,4,12,1094.72
2012,1,4,13,1000.9
2012,1,4,14,820.39
2012,1,4,15,617.12
2012,1,4,16,414.7
2012,1,4,17,224.2
2012,1,4,18,70.8
2012,1,4,19,0
2012,1,4,20,0
2012,1,4,21,0
2012,1,4,22,0
2012,1,4,23,0
2012,1,5,0,0
2012,1,5,1,0
2012,1,5,2,0
2012,1,5,3,0
2012,1,5,4,0
2012,1,5,5,19.35
2012,1,5,6,108.98
2012,1,5,7,274.77
2012,1,5,8,446.69
2012,1,5,9,587.66
2012,1,5,10,776.6
2012,1,5,11,998.32
2012,1,5,12,971.91
2012,1,5,13,857.03
2012,1,5,14,706.95
2012,1,5,15,528.31
2012,1,5,16,302.88
2012,1,5,17,191.15
2012,1,5,18,80.71
2012,1,5,19,0
2012,1,5,20,0
2012,1,5,21,0
2012,1,5,22,0
2012,1,5,23,0
2012,1,6,0,0
2012,1,6,1,0
2012,1,6,2,0
2012,1,6,3,0
2012,1,6,4,0
2012,1,6,5,21.29
2012,1,6,6,201.73
2012,1,6,7,443.04
2012,1,6,8,674.55
2012,1,6,9,866.99
2012,1,6,10,1015.2
2012,1,6,11,1081.52
2012,1,6,12,1094.13
2012,1,6,13,1063.77
2012,1,6,14,974.81
2012,1,6,15,809.62
2012,1,6,16,597.41
2012,1,6,17,361.96
2012,1,6,18,130.41
2012,1,6,19,0
2012,1,6,20,0
2012,1,6,21,0
2012,1,6,22,0
2012,1,6,23,0
2012,1,7,0,0
2012,1,7,1,0
2012,1,7,2,0
2012,1,7,3,0
2012,1,7,4,0
2012,1,7,5,20.2
2012,1,7,6,195.45
2012,1,7,7,430
2012,1,7,8,656
2012,1,7,9,845.33
2012,1,7,10,989.6
2012,1,7,11,1054.18
2012,1,7,12,1048.9
2012,1,7,13,1020.23
2012,1,7,14,880.93
2012,1,7,15,719.76
2012,1,7,16,520.43
2012,1,7,17,304.7
2012,1,7,18,114.21
2012,1,7,19,0
2012,1,7,20,0
2012,1,7,21,0
2012,1,7,22,0
2012,1,7,23,0
2012,1,8,0,0
2012,1,8,1,0
2012,1,8,2,0
2012,1,8,3,0
2012,1,8,4,0
2012,1,8,5,17.13
2012,1,8,6,180.27
2012,1,8,7,412.73
2012,1,8,8,640.74
2012,1,8,9,827.53
2012,1,8,10,974.07
2012,1,8,11,1039.13
2012,1,8,12,1043.41
2012,1,8,13,950.25
2012,1,8,14,764.12
2012,1,8,15,652.07
2012,1,8,16,401.26
2012,1,8,17,215.48
2012,1,8,18,51.98
2012,1,8,19,0
2012,1,8,20,0
2012,1,8,21,0
2012,1,8,22,0
2012,1,8,23,0
2012,1,9,0,0
2012,1,9,1,0
2012,1,9,2,0
2012,1,9,3,0
2012,1,9,4,0
2012,1,9,5,14.67
2012,1,9,6,135.15
2012,1,9,7,361.35
2012,1,9,8,580.43
2012,1,9,9,795.94
2012,1,9,10,951.91
2012,1,9,11,1042.85
2012,1,9,12,1060.39
2012,1,9,13,1036.84
2012,1,9,14,945.16
2012,1,9,15,782.92
2012,1,9,16,533.67
2012,1,9,17,275.37
2012,1,9,18,82.23
2012,1,9,19,0
2012,1,9,20,0
2012,1,9,21,0
2012,1,9,22,0
2012,1,9,23,0
2012,1,10,0,0
2012,1,10,1,0
2012,1,10,2,0
2012,1,10,3,0
2012,1,10,4,0
2012,1,10,5,16.26
2012,1,10,6,181
2012,1,10,7,415.23
2012,1,10,8,644.92
2012,1,10,9,836.52
2012,1,10,10,987.85
2012,1,10,11,1055.48
2012,1,10,12,1071.43
2012,1,10,13,1026.91
2012,1,10,14,872.34
2012,1,10,15,694.65
2012,1,10,16,523.11
2012,1,10,17,320.86
2012,1,10,18,122.98
2012,1,10,19,0
2012,1,10,20,0
2012,1,10,21,0
2012,1,10,22,0
2012,1,10,23,0
2012,1,11,0,0
2012,1,11,1,0
2012,1,11,2,0
2012,1,11,3,0
2012,1,11,4,0
2012,1,11,5,14.45
2012,1,11,6,145.7
2012,1,11,7,397.83
2012,1,11,8,633.52
2012,1,11,9,829.29
2012,1,11,10,983.77
2012,1,11,11,1054.12
2012,1,11,12,1068.69
2012,1,11,13,1040.43
2012,1,11,14,940.88
2012,1,11,15,695.08
2012,1,11,16,478.98
2012,1,11,17,255.32
2012,1,11,18,87.37
2012,1,11,19,0
2012,1,11,20,0
2012,1,11,21,0
2012,1,11,22,0
2012,1,11,23,0
2012,1,12,0,0
2012,1,12,1,0
2012,1,12,2,0
2012,1,12,3,0
2012,1,12,4,0
2012,1,12,5,15.49
2012,1,12,6,184.8
2012,1,12,7,423.52
2012,1,12,8,654.05
2012,1,12,9,846.12
2012,1,12,10,993.23
2012,1,12,11,1061.72
2012,1,12,12,1065.36
2012,1,12,13,1002.48
2012,1,12,14,698.58
2012,1,12,15,572.34
2012,1,12,16,390.08
2012,1,12,17,215.77
2012,1,12,18,51.2
2012,1,12,19,0
2012,1,12,20,0
2012,1,12,21,0
2012,1,12,22,0
2012,1,12,23,0
2012,1,13,0,0
2012,1,13,1,0
2012,1,13,2,0
2012,1,13,3,0
2012,1,13,4,0
2012,1,13,5,8.16
2012,1,13,6,94.36
2012,1,13,7,241.63
2012,1,13,8,432.08
2012,1,13,9,720.84
2012,1,13,10,531.66
2012,1,13,11,658.98
2012,1,13,12,656.65
2012,1,13,13,507.16
2012,1,13,14,445.48
2012,1,13,15,162.41
2012,1,13,16,52.48
2012,1,13,17,32.94
2012,1,13,18,40.82
2012,1,13,19,0
2012,1,13,20,0
2012,1,13,21,0
2012,1,13,22,0
2012,1,13,23,0
2012,1,14,0,0
2012,1,14,1,0
2012,1,14,2,0
2012,1,14,3,0
2012,1,14,4,0
2012,1,14,5,12.54
2012,1,14,6,169.23
2012,1,14,7,404.21
2012,1,14,8,633.27
2012,1,14,9,827.04
2012,1,14,10,980.59
2012,1,14,11,1044.93
2012,1,14,12,1054.38
2012,1,14,13,965.66
2012,1,14,14,795.23
2012,1,14,15,656.34
2012,1,14,16,482.39
2012,1,14,17,254.98
2012,1,14,18,80.53
2012,1,14,19,0
2012,1,14,20,0
2012,1,14,21,0
2012,1,14,22,0
2012,1,14,23,0
2012,1,15,0,0
2012,1,15,1,0
2012,1,15,2,0
2012,1,15,3,0
2012,1,15,4,0
2012,1,15,5,10.79
2012,1,15,6,136.14
2012,1,15,7,330.39
2012,1,15,8,536.08
2012,1,15,9,794.52
2012,1,15,10,867.14
2012,1,15,11,927.2
2012,1,15,12,903.56
2012,1,15,13,916.25
2012,1,15,14,778.2
2012,1,15,15,625.77
2012,1,15,16,440.13
2012,1,15,17,250.71
2012,1,15,18,82.88
2012,1,15,19,0
2012,1,15,20,0
2012,1,15,21,0
2012,1,15,22,0
2012,1,15,23,0
2012,1,16,0,0
2012,1,16,1,0
2012,1,16,2,0
2012,1,16,3,0
2012,1,16,4,0
2012,1,16,5,11.95
2012,1,16,6,165.45
2012,1,16,7,395.12
2012,1,16,8,630.88
2012,1,16,9,820.27
2012,1,16,10,976.8
2012,1,16,11,1040.09
2012,1,16,12,1039.33
2012,1,16,13,1011.91
2012,1,16,14,828.08
2012,1,16,15,719.51
2012,1,16,16,527.8
2012,1,16,17,301.09
2012,1,16,18,112.75
2012,1,16,19,0
2012,1,16,20,0
2012,1,16,21,0
2012,1,16,22,0
2012,1,16,23,0
2012,1,17,0,0
2012,1,17,1,0
2012,1,17,2,0
2012,1,17,3,0
2012,1,17,4,0
2012,1,17,5,11.2
2012,1,17,6,161.41
2012,1,17,7,395.09
2012,1,17,8,633.85
2012,1,17,9,830.59
2012,1,17,10,981.73
2012,1,17,11,1055.78
2012,1,17,12,1042.73
2012,1,17,13,929.05
2012,1,17,14,775.69
2012,1,17,15,661.7
2012,1,17,16,465.85
2012,1,17,17,256.77
2012,1,17,18,86.02
2012,1,17,19,0
2012,1,17,20,0
2012,1,17,21,0
2012,1,17,22,0
2012,1,17,23,0
2012,1,18,0,0
2012,1,18,1,0
2012,1,18,2,0
2012,1,18,3,0
2012,1,18,4,0
2012,1,18,5,10.23
2012,1,18,6,145.18
2012,1,18,7,350.57
2012,1,18,8,592.7
2012,1,18,9,800.32
2012,1,18,10,939.2
2012,1,18,11,1036.18
2012,1,18,12,1020.26
2012,1,18,13,879.22
2012,1,18,14,790.12
2012,1,18,15,605.96
2012,1,18,16,398.16
2012,1,18,17,210.89
2012,1,18,18,66.79
2012,1,18,19,0
2012,1,18,20,0
2012,1,18,21,0
2012,1,18,22,0
2012,1,18,23,0
2012,1,19,0,0
2012,1,19,1,0
2012,1,19,2,0
2012,1,19,3,0
2012,1,19,4,0
2012,1,19,5,9.33
2012,1,19,6,133.88
2012,1,19,7,385.84
2012,1,19,8,614.4
2012,1,19,9,808.21
2012,1,19,10,958.27
2012,1,19,11,1008.05
2012,1,19,12,994.23
2012,1,19,13,907.34
2012,1,19,14,754.79
2012,1,19,15,653.47
2012,1,19,16,450.29
2012,1,19,17,268.7
2012,1,19,18,83.91
2012,1,19,19,0
2012,1,19,20,0
2012,1,19,21,0
2012,1,19,22,0
2012,1,19,23,0
2012,1,20,0,0
2012,1,20,1,0
2012,1,20,2,0
2012,1,20,3,0
2012,1,20,4,0
2012,1,20,5,8.44
2012,1,20,6,137.52
2012,1,20,7,361.89
2012,1,20,8,550.53
2012,1,20,9,694.68
2012,1,20,10,752.44
2012,1,20,11,811.86
2012,1,20,12,753.65
2012,1,20,13,615
2012,1,20,14,469.84
2012,1,20,15,243.48
2012,1,20,16,106.6
2012,1,20,17,58.34
2012,1,20,18,24.16
2012,1,20,19,0
2012,1,20,20,0
2012,1,20,21,0
2012,1,20,22,0
2012,1,20,23,0
2012,1,21,0,0
2012,1,21,1,0
2012,1,21,2,0
2012,1,21,3,0
2012,1,21,4,0
2012,1,21,5,5.74
2012,1,21,6,77.7
2012,1,21,7,222.65
2012,1,21,8,397.75
2012,1,21,9,633.7
2012,1,21,10,808.42
2012,1,21,11,905.45
2012,1,21,12,847.34
2012,1,21,13,790.86
2012,1,21,14,646.99
2012,1,21,15,485.16
2012,1,21,16,301.2
2012,1,21,17,164.7
2012,1,21,18,42.94
2012,1,21,19,0
2012,1,21,20,0
2012,1,21,21,0
2012,1,21,22,0
2012,1,21,23,0
2012,1,22,0,0
2012,1,22,1,0
2012,1,22,2,0
2012,1,22,3,0
2012,1,22,4,0
2012,1,22,5,5.57
2012,1,22,6,73.12
2012,1,22,7,218.67
2012,1,22,8,380.65
2012,1,22,9,512.63
2012,1,22,10,696.45
2012,1,22,11,795.63
2012,1,22,12,791.05
2012,1,22,13,758.58
2012,1,22,14,720.63
2012,1,22,15,586.56
2012,1,22,16,434.8
2012,1,22,17,234.48
2012,1,22,18,75.93
2012,1,22,19,0
2012,1,22,20,0
2012,1,22,21,0
2012,1,22,22,0
2012,1,22,23,0
2012,1,23,0,0
2012,1,23,1,0
2012,1,23,2,0
2012,1,23,3,0
2012,1,23,4,0
2012,1,23,5,7.73
2012,1,23,6,118.63
2012,1,23,7,343.34
2012,1,23,8,565.39
2012,1,23,9,685.67
2012,1,23,10,859.2
2012,1,23,11,893.88
2012,1,23,12,929.97
2012,1,23,13,843.36
2012,1,23,14,584.67
2012,1,23,15,121.33
2012,1,23,16,248.29
2012,1,23,17,111.85
2012,1,23,18,34.78
2012,1,23,19,0
2012,1,23,20,0
2012,1,23,21,0
2012,1,23,22,0
2012,1,23,23,0
2012,1,24,0,0
2012,1,24,1,0
2012,1,24,2,0
2012,1,24,3,0
2012,1,24,4,0
2012,1,24,5,8.31
2012,1,24,6,140.3
2012,1,24,7,275.18
2012,1,24,8,480.45
2012,1,24,9,711.35
2012,1,24,10,919.71
2012,1,24,11,1032.04
2012,1,24,12,1017.54
2012,1,24,13,971.43
2012,1,24,14,947.36
2012,1,24,15,773.05
2012,1,24,16,587.83
2012,1,24,17,359.52
2012,1,24,18,127.6
2012,1,24,19,0
2012,1,24,20,0
2012,1,24,21,0
2012,1,24,22,0
2012,1,24,23,0
2012,1,25,0,0
2012,1,25,1,0
2012,1,25,2,0
2012,1,25,3,0
2012,1,25,4,0
2012,1,25,5,8.7
2012,1,25,6,145.61
2012,1,25,7,379.47
2012,1,25,8,618.91
2012,1,25,9,811.29
2012,1,25,10,951.53
2012,1,25,11,1042.63
2012,1,25,12,1077.87
2012,1,25,13,1044.02
2012,1,25,14,898.51
2012,1,25,15,804
2012,1,25,16,596.3
2012,1,25,17,364.96
2012,1,25,18,123.34
2012,1,25,19,0
2012,1,25,20,0
2012,1,25,21,0
2012,1,25,22,0
2012,1,25,23,0
2012,1,26,0,0
2012,1,26,1,0
2012,1,26,2,0
2012,1,26,3,0
2012,1,26,4,0
2012,1,26,5,0
2012,1,26,6,154.97
2012,1,26,7,389.02
2012,1,26,8,634.22
2012,1,26,9,840.32
2012,1,26,10,902.8
2012,1,26,11,1038.59
2012,1,26,12,1052.77
2012,1,26,13,1031.51
2012,1,26,14,958.41
2012,1,26,15,777.3
2012,1,26,16,570.34
2012,1,26,17,352.16
2012,1,26,18,122.29
2012,1,26,19,0
2012,1,26,20,0
2012,1,26,21,0
2012,1,26,22,0
2012,1,26,23,0
2012,1,27,0,0
2012,1,27,1,0
2012,1,27,2,0
2012,1,27,3,0
2012,1,27,4,0
2012,1,27,5,0
2012,1,27,6,136.27
2012,1,27,7,350.09
2012,1,27,8,609.27
2012,1,27,9,811.52
2012,1,27,10,965.51
2012,1,27,11,1041.53
2012,1,27,12,1016.06
2012,1,27,13,856.36
2012,1,27,14,769.73
2012,1,27,15,670.62
2012,1,27,16,457.6
2012,1,27,17,261.94
2012,1,27,18,87.43
2012,1,27,19,0
2012,1,27,20,0
2012,1,27,21,0
2012,1,27,22,0
2012,1,27,23,0
2012,1,28,0,0
2012,1,28,1,0
2012,1,28,2,0
2012,1,28,3,0
2012,1,28,4,0
2012,1,28,5,0
2012,1,28,6,144.32
2012,1,28,7,377.57
2012,1,28,8,615.11
2012,1,28,9,819.96
2012,1,28,10,977.04
2012,1,28,11,1063.1
2012,1,28,12,1082.78
2012,1,28,13,992.5
2012,1,28,14,910.4
2012,1,28,15,718.2
2012,1,28,16,507.54
2012,1,28,17,288.44
2012,1,28,18,94.39
2012,1,28,19,0
2012,1,28,20,0
2012,1,28,21,0
2012,1,28,22,0
2012,1,28,23,0
2012,1,29,0,0
2012,1,29,1,0
2012,1,29,2,0
2012,1,29,3,0
2012,1,29,4,0
2012,1,29,5,0
2012,1,29,6,140.84
2012,1,29,7,377.39
2012,1,29,8,621.52
2012,1,29,9,828.59
2012,1,29,10,991.12
2012,1,29,11,1074.95
2012,1,29,12,1089.48
2012,1,29,13,1047.73
2012,1,29,14,927.68
2012,1,29,15,774.8
2012,1,29,16,581.91
2012,1,29,17,352.77
2012,1,29,18,113.84
2012,1,29,19,0
2012,1,29,20,0
2012,1,29,21,0
2012,1,29,22,0
2012,1,29,23,0
2012,1,30,0,0
2012,1,30,1,0
2012,1,30,2,0
2012,1,30,3,0
2012,1,30,4,0
2012,1,30,5,0
2012,1,30,6,132.38
2012,1,30,7,372.16
2012,1,30,8,621.99
2012,1,30,9,828.2
2012,1,30,10,983.12
2012,1,30,11,1066.95
2012,1,30,12,1077
2012,1,30,13,1048.81
2012,1,30,14,631.27
2012,1,30,15,539.17
2012,1,30,16,358.83
2012,1,30,17,196.78
2012,1,30,18,53.28
2012,1,30,19,0
2012,1,30,20,0
2012,1,30,21,0
2012,1,30,22,0
2012,1,30,23,0
2012,1,31,0,0
2012,1,31,1,0
2012,1,31,2,0
2012,1,31,3,0
2012,1,31,4,0
2012,1,31,5,0
2012,1,31,6,114.43
2012,1,31,7,342.15
2012,1,31,8,577.79
2012,1,31,9,784.46
2012,1,31,10,925.22
2012,1,31,11,1020.05
2012,1,31,12,1015.25
2012,1,31,13,803.56
2012,1,31,14,722.53
2012,1,31,15,517.24
2012,1,31,16,297.28
2012,1,31,17,159.05
2012,1,31,18,39.95
2012,1,31,19,0
2012,1,31,20,0
2012,1,31,21,0
2012,1,31,22,0
2012,1,31,23,0
2012,2,1,0,0
2012,2,1,1,0
2012,2,1,2,0
2012,2,1,3,0
2012,2,1,4,0
2012,2,1,5,0
2012,2,1,6,83.69
2012,2,1,7,249.09
2012,2,1,8,446.59
2012,2,1,9,665.42
2012,2,1,10,845.78
2012,2,1,11,926.8
2012,2,1,12,831.95
2012,2,1,13,606.28
2012,2,1,14,522.5
2012,2,1,15,401.45
2012,2,1,16,263.15
2012,2,1,17,52.91
2012,2,1,18,16.16
2012,2,1,19,0
2012,2,1,20,0
2012,2,1,21,0
2012,2,1,22,0
2012,2,1,23,0
2012,2,2,0,0
2012,2,2,1,0
2012,2,2,2,0
2012,2,2,3,0
2012,2,2,4,0
2012,2,2,5,0
2012,2,2,6,39.45
2012,2,2,7,71.48
2012,2,2,8,138.26
2012,2,2,9,233.31
2012,2,2,10,230.65
2012,2,2,11,309.9
2012,2,2,12,378.73
2012,2,2,13,254.4
2012,2,2,14,341.16
2012,2,2,15,159.84
2012,2,2,16,120.72
2012,2,2,17,110.11
2012,2,2,18,29.08
2012,2,2,19,0
2012,2,2,20,0
2012,2,2,21,0
2012,2,2,22,0
2012,2,2,23,0
2012,2,3,0,0
2012,2,3,1,0
2012,2,3,2,0
2012,2,3,3,0
2012,2,3,4,0
2012,2,3,5,0
2012,2,3,6,59.65
2012,2,3,7,165.68
2012,2,3,8,322.84
2012,2,3,9,497.93
2012,2,3,10,573.11
2012,2,3,11,546.38
2012,2,3,12,659.01
2012,2,3,13,638.27
2012,2,3,14,511.09
2012,2,3,15,407.91
2012,2,3,16,279.98
2012,2,3,17,164.29
2012,2,3,18,37.77
2012,2,3,19,0
2012,2,3,20,0
2012,2,3,21,0
2012,2,3,22,0
2012,2,3,23,0
2012,2,4,0,0
2012,2,4,1,0
2012,2,4,2,0
2012,2,4,3,0
